INSEE_COM;NOM_COM;NB_IRIS
69006;Amplepuis;2
69010;L'Arbresle;2
69019;Belleville-en-Beaujolais;3
69027;Brignais;5
69029;Bron;16
69034;Caluire-et-Cuire;19
69040;Champagne-au-Mont-d'Or;2
69043;Chaponost;3
69069;Craponne;3
69072;Dardilly;3
69081;Écully;9
69088;Fontaines-sur-Saône;3
69089;Francheville;5
69091;Givors;8
69092;Gleizé;3
69096;Grigny;3
69100;Irigny;3
69142;La Mulatière;3
69143;Neuville-sur-Saône;4
69149;Oullins;11
69152;Pierre-Bénite;6
69191;Saint-Cyr-au-Mont-d'Or;2
69194;Saint-Didier-au-Mont-d'Or;2
69199;Saint-Fons;8
69202;Sainte-Foy-lès-Lyon;10
69204;Saint-Genis-Laval;10
69243;Tarare;4
69244;Tassin-la-Demi-Lune;5
69256;Vaulx-en-Velin;18
69259;Vénissieux;24
69264;Villefranche-sur-Saône;13
69266;Villeurbanne;48
69271;Chassieu;5
69273;Corbas;4
69275;Décines-Charpieu;12
69276;Feyzin;3
69277;Genas;4
69279;Jonage;2
69282;Meyzieu;15
69283;Mions;4
69286;Rillieux-la-Pape;12
69287;Saint-Bonnet-de-Mure;2
69290;Saint-Priest;20
69291;Saint-Symphorien-d'Ozon;2
69381;Lyon 1er Arrondissement;11
69382;Lyon 2e Arrondissement;15
69383;Lyon 3e Arrondissement;32
69384;Lyon 4e Arrondissement;15
69385;Lyon 5e Arrondissement;21
69386;Lyon 6e Arrondissement;21
69387;Lyon 7e Arrondissement;24
69388;Lyon 8e Arrondissement;27
69389;Lyon 9e Arrondissement;19
